column,value,count
hotel,City Hotel,78914
hotel,Resort Hotel,39565
is_canceled,0,74425
is_canceled,1,44054
lead_time,0,6146
lead_time,1,3374
lead_time,2,2029
lead_time,3,1797
lead_time,4,1691
lead_time,5,1541
lead_time,6,1419
lead_time,7,1306
lead_time,8,1124
lead_time,12,1073
lead_time,11,1045
lead_time,9,982
lead_time,10,970
lead_time,14,953
lead_time,16,936
lead_time,17,874
lead_time,19,836
lead_time,15,834
lead_time,18,825
lead_time,34,824
lead_time,28,817
lead_time,13,815
lead_time,20,747
lead_time,40,711
lead_time,29,709
lead_time,22,704
lead_time,32,689
lead_time,31,679
lead_time,21,674
lead_time,56,674
lead_time,39,671
lead_time,37,670
lead_time,26,669
lead_time,24,665
lead_time,36,660
lead_time,30,655
lead_time,25,652
lead_time,35,652
lead_time,27,647
lead_time,23,641
lead_time,33,639
lead_time,44,630
lead_time,41,605
lead_time,55,574
lead_time,38,573
lead_time,47,568
lead_time,68,563
lead_time,69,558
lead_time,45,536
lead_time,53,528
lead_time,72,528
lead_time,50,525
lead_time,59,519
lead_time,74,517
lead_time,61,510
lead_time,48,503
lead_time,46,493
lead_time,49,478
lead_time,43,478
lead_time,54,472
lead_time,42,463
lead_time,66,462
lead_time,86,461
lead_time,102,457
lead_time,57,455
lead_time,65,444
lead_time,88,444
lead_time,87,442
lead_time,80,440
lead_time,92,440
lead_time,67,439
lead_time,60,436
lead_time,52,431
lead_time,99,430
lead_time,112,423
lead_time,75,423
lead_time,71,421
lead_time,98,420
lead_time,64,419
lead_time,115,419
lead_time,105,411
lead_time,62,411
lead_time,104,410
lead_time,73,401
lead_time,58,400
lead_time,63,398
lead_time,116,395
lead_time,95,392
lead_time,82,391
lead_time,78,383
lead_time,70,383
lead_time,134,383
lead_time,103,377
lead_time,83,376
lead_time,113,371
lead_time,96,368
lead_time,51,365
lead_time,151,362
lead_time,81,359
lead_time,164,358
lead_time,79,357
lead_time,77,357
lead_time,97,356
lead_time,101,349
lead_time,76,349
lead_time,93,349
lead_time,100,347
lead_time,84,344
lead_time,85,343
lead_time,169,337
lead_time,140,335
lead_time,111,332
lead_time,94,332
lead_time,91,332
lead_time,178,323
lead_time,168,322
lead_time,158,322
lead_time,150,320
lead_time,277,318
lead_time,89,315
lead_time,152,312
lead_time,124,308
lead_time,156,305
lead_time,213,303
lead_time,128,303
lead_time,162,303
lead_time,143,300
lead_time,131,298
lead_time,129,297
lead_time,166,296
lead_time,117,296
lead_time,130,295
lead_time,110,295
lead_time,109,294
lead_time,181,293
lead_time,192,293
lead_time,183,293
lead_time,90,292
lead_time,159,291
lead_time,118,290
lead_time,135,286
lead_time,122,286
lead_time,137,284
lead_time,175,279
lead_time,148,276
lead_time,141,274
lead_time,123,274
lead_time,180,269
lead_time,133,265
lead_time,108,265
lead_time,174,263
lead_time,121,263
lead_time,107,260
lead_time,142,258
lead_time,138,257
lead_time,132,257
lead_time,155,256
lead_time,106,255
lead_time,188,251
lead_time,172,250
lead_time,177,250
lead_time,120,250
lead_time,126,249
lead_time,219,248
lead_time,198,247
lead_time,211,246
lead_time,157,245
lead_time,125,244
lead_time,186,244
lead_time,114,244
lead_time,146,242
lead_time,153,242
lead_time,145,241
lead_time,119,241
lead_time,165,237
lead_time,136,236
lead_time,179,230
lead_time,127,230
lead_time,161,230
lead_time,265,227
lead_time,221,223
lead_time,139,220
lead_time,189,219
lead_time,144,218
lead_time,163,217
lead_time,147,216
lead_time,173,214
lead_time,207,212
lead_time,199,212
lead_time,171,210
lead_time,185,209
lead_time,215,208
lead_time,160,204
lead_time,247,204
lead_time,210,204
lead_time,184,201
lead_time,245,200
lead_time,316,199
lead_time,212,197
lead_time,292,196
lead_time,203,195
lead_time,149,194
lead_time,301,190
lead_time,226,190
lead_time,208,190
lead_time,286,189
lead_time,167,189
lead_time,195,186
lead_time,304,181
lead_time,386,180
lead_time,154,179
lead_time,170,174
lead_time,191,174
lead_time,193,173
lead_time,197,171
lead_time,259,170
lead_time,305,168
lead_time,336,167
lead_time,279,165
lead_time,275,164
lead_time,364,163
lead_time,256,163
lead_time,190,160
lead_time,176,159
lead_time,273,159
lead_time,204,158
lead_time,214,158
lead_time,205,154
lead_time,182,153
lead_time,239,153
lead_time,222,151
lead_time,233,149
lead_time,220,149
lead_time,236,149
lead_time,323,148
lead_time,276,148
lead_time,302,147
lead_time,206,146
lead_time,240,145
lead_time,342,145
