column,value,count
hotel,0,6532
hotel,1,3234
is_canceled,0,6193
is_canceled,1,3573
lead_time,0,505
lead_time,1,280
lead_time,2,165
lead_time,4,144
lead_time,3,137
lead_time,5,131
lead_time,7,114
lead_time,6,114
lead_time,9,97
lead_time,12,92
lead_time,11,87
lead_time,16,85
lead_time,8,84
lead_time,34,72
lead_time,22,70
lead_time,20,70
lead_time,17,69
lead_time,14,69
lead_time,13,69
lead_time,21,68
lead_time,15,68
lead_time,19,67
lead_time,23,64
lead_time,28,63
lead_time,36,63
lead_time,56,62
lead_time,35,62
lead_time,18,60
lead_time,10,59
lead_time,69,59
lead_time,44,58
lead_time,39,58
lead_time,40,58
lead_time,27,58
lead_time,32,56
lead_time,38,55
lead_time,74,55
lead_time,30,54
lead_time,47,53
lead_time,55,53
lead_time,26,53
lead_time,33,53
lead_time,24,51
lead_time,112,49
lead_time,31,49
lead_time,25,48
lead_time,41,48
lead_time,53,48
lead_time,37,47
lead_time,102,47
lead_time,48,46
lead_time,29,45
lead_time,80,44
lead_time,45,44
lead_time,72,43
lead_time,86,43
lead_time,49,43
lead_time,54,42
lead_time,46,40
lead_time,98,40
lead_time,87,40
lead_time,66,40
lead_time,43,40
lead_time,61,39
lead_time,50,38
lead_time,78,38
lead_time,71,37
lead_time,73,37
lead_time,57,37
lead_time,140,37
lead_time,82,37
lead_time,68,36
lead_time,95,36
lead_time,101,36
lead_time,96,36
lead_time,134,36
lead_time,116,35
lead_time,183,35
lead_time,115,35
lead_time,42,35
lead_time,92,35
lead_time,58,35
lead_time,122,34
lead_time,75,34
lead_time,113,33
lead_time,168,33
lead_time,146,33
lead_time,150,33
lead_time,60,33
lead_time,103,32
lead_time,52,32
lead_time,151,32
lead_time,97,32
lead_time,105,32
lead_time,93,32
lead_time,59,32
lead_time,181,31
lead_time,77,31
lead_time,104,31
lead_time,100,31
lead_time,188,30
lead_time,51,30
lead_time,91,30
lead_time,67,30
lead_time,65,29
lead_time,178,29
lead_time,79,29
lead_time,88,29
lead_time,174,29
lead_time,62,29
lead_time,277,29
lead_time,124,29
lead_time,99,28
lead_time,84,28
lead_time,131,28
lead_time,81,28
lead_time,94,27
lead_time,90,27
lead_time,215,27
lead_time,133,26
lead_time,76,26
lead_time,166,26
lead_time,64,26
lead_time,119,26
lead_time,265,25
lead_time,143,25
lead_time,169,25
lead_time,85,24
lead_time,110,24
lead_time,162,24
lead_time,152,24
lead_time,83,24
lead_time,259,23
lead_time,63,23
lead_time,180,23
lead_time,164,23
lead_time,107,23
lead_time,172,23
lead_time,120,23
lead_time,136,22
lead_time,159,22
lead_time,156,22
lead_time,106,22
lead_time,175,22
lead_time,118,22
lead_time,147,22
lead_time,132,22
lead_time,128,22
lead_time,219,21
lead_time,123,21
lead_time,135,21
lead_time,222,21
lead_time,137,21
lead_time,117,21
lead_time,109,21
lead_time,121,21
lead_time,213,21
lead_time,186,21
lead_time,316,21
lead_time,70,21
lead_time,145,21
lead_time,185,21
lead_time,161,21
lead_time,111,20
lead_time,126,20
lead_time,192,20
lead_time,207,20
lead_time,245,19
lead_time,171,19
lead_time,165,19
lead_time,208,19
lead_time,130,19
lead_time,157,19
lead_time,125,18
lead_time,153,18
lead_time,273,18
lead_time,142,18
lead_time,158,18
lead_time,189,18
lead_time,141,18
lead_time,139,18
lead_time,108,18
lead_time,226,18
lead_time,89,18
lead_time,364,17
lead_time,148,17
lead_time,195,17
lead_time,167,17
lead_time,336,17
lead_time,200,16
lead_time,138,16
lead_time,203,16
lead_time,184,16
lead_time,275,16
lead_time,129,16
lead_time,211,16
lead_time,301,16
lead_time,292,16
lead_time,199,16
lead_time,154,15
lead_time,239,15
lead_time,263,15
lead_time,177,15
lead_time,197,15
lead_time,160,15
lead_time,229,15
lead_time,179,15
lead_time,173,15
lead_time,212,14
lead_time,241,14
lead_time,127,14
lead_time,253,14
lead_time,286,14
lead_time,205,14
lead_time,236,14
lead_time,254,14
lead_time,114,14
lead_time,163,14
lead_time,201,14
lead_time,323,14
lead_time,240,14
lead_time,351,13
lead_time,170,13
lead_time,218,13
lead_time,193,13
lead_time,327,13
lead_time,202,13
lead_time,210,13
lead_time,258,13
lead_time,198,13
lead_time,233,12
lead_time,386,12
lead_time,237,12
lead_time,214,12
lead_time,224,12
lead_time,315,12
lead_time,264,12
lead_time,247,12
lead_time,190,12
lead_time,149,12
lead_time,221,11
lead_time,144,11
lead_time,257,11
lead_time,309,11
lead_time,337,11
lead_time,405,11
lead_time,220,11
lead_time,283,11
lead_time,270,11
lead_time,342,11
lead_time,225,11
lead_time,187,11
lead_time,423,11
lead_time,314,10
lead_time,238,10
lead_time,335,10
lead_time,176,10
lead_time,194,10
lead_time,420,10
lead_time,289,10
lead_time,182,10
lead_time,196,10
lead_time,302,10
lead_time,305,10
lead_time,230,10
lead_time,206,9
lead_time,296,9
lead_time,287,9
lead_time,333,9
lead_time,244,9
lead_time,223,9
lead_time,191,9
lead_time,279,9
lead_time,288,9
lead_time,155,9
lead_time,251,9
lead_time,276,9
lead_time,372,8
lead_time,269,8
lead_time,256,8
lead_time,346,8
lead_time,266,8
lead_time,278,8
lead_time,204,8
lead_time,243,8
lead_time,274,8
lead_time,414,8
lead_time,312,8
lead_time,317,7
lead_time,246,7
lead_time,320,7
lead_time,262,7
lead_time,311,7
lead_time,217,7
lead_time,313,7
lead_time,227,7
lead_time,228,7
lead_time,271,7
lead_time,282,7
lead_time,308,7
lead_time,304,7
lead_time,281,7
lead_time,293,7
lead_time,457,7
lead_time,300,7
lead_time,232,6
lead_time,295,6
lead_time,260,6
lead_time,272,6
lead_time,291,6
lead_time,358,6
lead_time,310,6
lead_time,476,6
lead_time,322,6
lead_time,252,6
lead_time,391,6
lead_time,267,6
lead_time,325,6
lead_time,234,6
lead_time,242,6
lead_time,321,6
lead_time,377,6
lead_time,350,6
lead_time,339,6
lead_time,216,6
lead_time,235,6
lead_time,307,6
lead_time,359,5
lead_time,368,5
lead_time,393,5
lead_time,284,5
lead_time,396,5
lead_time,294,5
lead_time,383,5
lead_time,418,5
lead_time,395,5
lead_time,268,5
lead_time,451,5
lead_time,326,5
lead_time,468,5
lead_time,355,5
lead_time,250,5
lead_time,461,4
lead_time,444,4
lead_time,388,4
lead_time,249,4
lead_time,443,4
lead_time,261,4
lead_time,330,4
lead_time,298,4
lead_time,297,4
lead_time,352,4
lead_time,255,4
lead_time,318,4
lead_time,379,4
lead_time,433,4
lead_time,290,4
lead_time,378,4
lead_time,559,4
lead_time,475,4
lead_time,231,4
lead_time,209,4
lead_time,594,3
lead_time,385,3
lead_time,344,3
lead_time,482,3
lead_time,626,3
lead_time,542,3
lead_time,367,3
lead_time,248,3
lead_time,280,3
lead_time,343,3
lead_time,299,3
lead_time,349,3
lead_time,412,3
lead_time,524,3
lead_time,363,3
lead_time,348,3
lead_time,479,3
lead_time,353,3
lead_time,345,3
lead_time,365,3
lead_time,507,2
lead_time,384,2
lead_time,496,2
lead_time,340,2
lead_time,331,2
lead_time,398,2
lead_time,306,2
lead_time,332,2
lead_time,373,2
lead_time,462,2
lead_time,334,2
lead_time,357,2
lead_time,397,2
lead_time,437,2
lead_time,580,2
lead_time,454,2
lead_time,464,2
lead_time,356,2
lead_time,285,2
lead_time,573,2
lead_time,328,2
lead_time,467,2
lead_time,450,2
lead_time,447,2
lead_time,426,2
lead_time,319,2
lead_time,329,2
lead_time,434,2
lead_time,503,2
lead_time,419,2
lead_time,347,2
lead_time,601,1
lead_time,341,1
lead_time,737,1
lead_time,381,1
lead_time,338,1
lead_time,545,1
lead_time,394,1
lead_time,422,1
lead_time,458,1
lead_time,478,1
lead_time,605,1
lead_time,408,1
lead_time,303,1
lead_time,566,1
lead_time,489,1
lead_time,517,1
lead_time,531,1
lead_time,429,1
lead_time,448,1
lead_time,615,1
lead_time,465,1
lead_time,518,1
lead_time,440,1
arrival_date_week_number,33,294
arrival_date_week_number,34,262
arrival_date_week_number,32,253
arrival_date_week_number,30,253
arrival_date_week_number,21,251
arrival_date_week_number,28,248
arrival_date_week_number,42,239
arrival_date_week_number,15,237
arrival_date_week_number,29,233
arrival_date_week_number,38,231
arrival_date_week_number,17,231
arrival_date_week_number,39,227
arrival_date_week_number,18,225
arrival_date_week_number,20,223
arrival_date_week_number,27,222
arrival_date_week_number,19,211
arrival_date_week_number,24,205
arrival_date_week_number,14,205
arrival_date_week_number,22,204
arrival_date_week_number,40,200
arrival_date_week_number,13,199
arrival_date_week_number,25,197
arrival_date_week_number,16,197
arrival_date_week_number,31,196
arrival_date_week_number,41,195
arrival_date_week_number,26,193
arrival_date_week_number,8,193
arrival_date_week_number,43,190
arrival_date_week_number,37,190
arrival_date_week_number,23,189
arrival_date_week_number,10,188
arrival_date_week_number,35,187
arrival_date_week_number,11,176
arrival_date_week_number,9,171
arrival_date_week_number,44,165
arrival_date_week_number,7,164
arrival_date_week_number,53,160
arrival_date_week_number,12,160
arrival_date_week_number,45,159
